lambda,h0,topology,initial_condition,defect_representation,commitment_law,block_factor,target_probability,max_real_transient_eigenvalue,transient_extinction_verified,minimum_expected_residence,all_states_positive_residence,all_states_residence_above_tolerance,minimum_schur_footprint,all_states_nonzero_schur_footprint,causal_probe_count,positive_causal_count,negative_causal_count,near_zero_causal_count,positive_causal_fraction,median_causal_effect,mean_absolute_causal_effect,max_absolute_causal_effect,min_causal_effect,max_causal_effect
1.0,0.02,complete,boundary_pair,bounded,exponential,0.05,0.1390582994739683,-0.009877938829635377,True,1.8719447399193965,True,True,0.05166040241903745,True,32,0,32,0,0.0,-6.328731265260734e-05,0.0003455458887694461,0.002352100264903678,-0.002352100264903678,-1.945980829132221e-05
0.0,0.5,complete,boundary_pair,log,exponential,0.05,0.022988505747126443,-0.5000000000000006,True,0.045977011494252845,True,True,0.08318903308077029,True,32,0,32,0,0.0,-0.00040434627775101997,0.00040434627775101737,0.00040434627775102344,-0.00040434627775102344,-0.00040434627775100956
0.0,0.5,complete,boundary_pair,bounded,exponential,0.05,0.022988505747126443,-0.5000000000000006,True,0.045977011494252845,True,True,0.08318903308077029,True,32,0,32,0,0.0,-0.00040434627775101997,0.00040434627775101737,0.00040434627775102344,-0.00040434627775102344,-0.00040434627775100956
0.0,0.5,complete,boundary_pair,symmetric,exponential,0.05,0.022988505747126443,-0.5000000000000006,True,0.045977011494252845,True,True,0.08318903308077029,True,32,0,32,0,0.0,-0.00040434627775101997,0.00040434627775101737,0.00040434627775102344,-0.00040434627775102344,-0.00040434627775100956
0.0,0.5,complete,left_boundary,log,exponential,0.05,0.022988505747126436,-0.5000000000000006,True,0.045977011494252845,True,True,0.08318903308077029,True,33,0,33,0,0.0,-0.0004043462777510373,0.00040434627775103163,0.0004043462777510373,-0.0004043462777510373,-0.00040434627775101997
0.0,0.5,complete,left_boundary,bounded,exponential,0.05,0.022988505747126436,-0.5000000000000006,True,0.045977011494252845,True,True,0.08318903308077029,True,33,0,33,0,0.0,-0.0004043462777510373,0.00040434627775103163,0.0004043462777510373,-0.0004043462777510373,-0.00040434627775101997
0.0,0.5,complete,left_boundary,symmetric,exponential,0.05,0.022988505747126436,-0.5000000000000006,True,0.045977011494252845,True,True,0.08318903308077029,True,33,0,33,0,0.0,-0.0004043462777510373,0.00040434627775103163,0.0004043462777510373,-0.0004043462777510373,-0.00040434627775101997
0.5,0.1,complete,left_boundary,bounded,exponential,0.05,0.06560864927969903,-0.06537218798650135,True,0.3509952507749174,True,True,0.053689806355277064,True,33,0,33,0,0.0,-0.0003678327179111318,0.0005869234135787286,0.0017422960315955777,-0.0017422960315955777,-0.0002790367370729824
0.5,0.1,complete,boundary_pair,bounded,exponential,0.05,0.06596571851582629,-0.06537218798650135,True,0.35292628835483947,True,True,0.053689806355277064,True,32,0,32,0,0.0,-0.0004011841764602342,0.0006095528889682612,0.0017639009411767465,-0.0017639009411767465,-0.0002895047466127537
0.5,0.1,complete,boundary_pair,log,exponential,0.05,0.0565331556718726,-0.07326802333099008,True,0.17478983038780196,True,True,0.040778601949763904,True,32,0,32,0,0.0,-0.000592338359250457,0.000627014661327833,0.0015171716561208498,-0.0015171716561208498,-2.2692359556569786e-06
0.5,0.5,complete,left_boundary,bounded,exponential,0.05,0.053423410226736905,-0.3247425338241996,True,0.06466703634095793,True,True,0.058920590178253865,True,33,0,33,0,0.0,-0.00050175507034695,0.0007376414884185926,0.0019238840107708571,-0.0019238840107708571,-0.0003843360861964795
