lambda,h0,topology,initial_condition,defect_representation,commitment_law,block_factor,target_probability,max_real_transient_eigenvalue,transient_extinction_verified,minimum_expected_residence,all_states_positive_residence,all_states_residence_above_tolerance,minimum_schur_footprint,all_states_nonzero_schur_footprint,causal_probe_count,positive_causal_count,negative_causal_count,near_zero_causal_count,positive_causal_fraction,median_causal_effect,mean_absolute_causal_effect,max_absolute_causal_effect,min_causal_effect,max_causal_effect
1.0,0.1,path,boundary_pair,log,quadratic_exponential,0.05,0.020454434802575527,-0.020208582085845025,True,0.19443667942734819,True,True,0.9673114632629645,True,32,32,0,0,1.0,0.007132481314983917,0.00582913417211388,0.009047475697522355,9.510455571508022e-05,0.009047475697522355
1.0,0.5,path,boundary_pair,log,exponential,0.05,0.0010878002168933521,-0.08362594987944985,True,0.0011956547551022969,True,True,0.8254868787651053,True,32,30,2,0,0.9375,9.726068034127545e-05,0.00033506540693276283,0.0009523878373980331,-0.00029440412340543025,0.0009523878373980331
1.0,0.5,path,boundary_pair,log,reciprocal,0.05,0.0008586705408927323,-0.1826616005453364,True,0.00035463827316799463,True,True,0.818344380675427,True,32,29,3,0,0.90625,1.0511359894363438e-05,0.00025010096046026997,0.000823392547595607,-0.00033122387208262927,0.000823392547595607
1.0,0.5,path,boundary_pair,log,quadratic_exponential,0.05,0.0008464285442141579,-0.03335039125720984,True,0.001692857088428317,True,True,0.7970816663330788,True,32,32,0,0,1.0,0.00032107200096413393,0.00030095114685373093,0.000489943921276216,1.4725085766155834e-05,0.000489943921276216
2.0,0.02,path,boundary_pair,log,exponential,0.05,0.13345317209277294,-0.01085504267231862,True,2.1229046355171715,True,True,0.9161736251327843,True,32,32,0,0,1.0,0.016987696115367434,0.01532571403514343,0.029435113769156973,0.00042127538157932243,0.029435113769156973
2.0,0.02,path,boundary_pair,log,reciprocal,0.05,0.10242688632990656,-0.012690158640298894,True,1.852332164151011,True,True,0.9136920154773714,True,32,32,0,0,1.0,0.0196847438012636,0.019205439101738414,0.027552688024617675,0.006465174958310463,0.027552688024617675
2.0,0.02,path,boundary_pair,log,quadratic_exponential,0.05,0.09574548296843495,-0.014084793356702808,True,2.1229347164395933,True,True,0.9162677326899435,True,32,32,0,0,1.0,0.010314934906799536,0.01115079393513302,0.026745452550070076,1.7475310674919253e-07,0.026745452550070076
2.0,0.1,path,boundary_pair,log,exponential,0.05,0.07245479615770108,-0.028385308633995725,True,0.5708094995814887,True,True,0.9157973599761225,True,32,32,0,0,1.0,0.020479687547378406,0.01813358915579512,0.03272078961079148,0.0012458461721493591,0.03272078961079148
2.0,0.1,path,boundary_pair,log,reciprocal,0.05,0.03735843410181492,-0.04645551720552937,True,0.28111014631596826,True,True,0.9036044290555206,True,32,32,0,0,1.0,0.010567673116865383,0.011824454635418789,0.019438334760903325,0.0024248200272533535,0.019438334760903325
2.0,0.1,path,boundary_pair,log,quadratic_exponential,0.05,0.047264037839268684,-0.027451868989664455,True,0.3406995311639185,True,True,0.9162676076922356,True,32,31,1,0,0.96875,0.010675503710803193,0.010660782257983965,0.026441075125715988,-0.0028569497037967684,0.026441075125715988
2.0,0.5,path,boundary_pair,log,exponential,0.05,0.008279985677878684,-0.04375496149616403,True,0.015155273774937514,True,True,0.8845105807195712,True,32,32,0,0,1.0,0.0029839932994684543,0.003268773964280133,0.004931136117459529,0.0006778826956790347,0.004931136117459529
2.0,0.5,path,boundary_pair,log,reciprocal,0.05,0.0021913285420555647,-0.13349653052620183,True,0.0021774269068809515,True,True,0.8579929434024751,True,32,31,1,0,0.96875,0.00019675583195978476,0.0006736308809425741,0.0019063894609099587,-0.0005237940154673715,0.0019063894609099587
2.0,0.5,path,boundary_pair,log,quadratic_exponential,0.05,0.004641317585616417,-0.03419961564754012,True,0.006515209154213219,True,True,0.8255171601673889,True,32,31,1,0,0.96875,0.000884395085302441,0.0015553859450218974,0.0035981687974557764,-0.0005905255609290026,0.0035981687974557764
4.0,0.02,path,boundary_pair,log,exponential,0.05,0.2900517674648748,-0.009852864190272037,True,1.0418616988756815,True,True,0.8155591258429133,True,32,32,0,0,1.0,0.0071360485625185655,0.01755290812324601,0.04713133411757703,5.055651475238676e-06,0.04713133411757703
