beta,noise_strength,k,mean_terminal_occupancy,argmax_frequency,mean_residence
0.25,0.03,16,0.09018170522339179,0.034666666666666665,1.0870943214213837
0.25,0.03,18,0.08801085031269065,0.04066666666666666,1.0679011151612152
0.25,0.03,20,0.08731372393198517,0.04,1.0552085556446373
0.25,0.03,22,0.08711078804559408,0.048,1.056209586133891
0.25,0.03,24,0.08704081732731483,0.20266666666666666,1.0556808274073548
0.25,0.06,4,0.08839995561803979,0.204,1.0753622414016644
0.25,0.06,6,0.088086465679994,0.04666666666666667,1.0744657321446405
0.25,0.06,8,0.08954674962387664,0.024,1.0760442379842372
0.25,0.06,10,0.09357306594507872,0.04,1.1021493848219
0.25,0.06,12,0.10089801728585157,0.226,1.1641010891081136
0.25,0.06,14,0.09455971858228014,0.06066666666666667,1.1059386995445037
0.25,0.06,16,0.09014356314718312,0.038,1.0793426892389077
0.25,0.06,18,0.08856497056938795,0.044,1.0773258411202309
0.25,0.06,20,0.08829736625955822,0.04533333333333334,1.0796637195178465
0.25,0.06,22,0.08872239156761846,0.066,1.0827679728042703
0.25,0.06,24,0.08920773572113189,0.20533333333333334,1.0828383923136926
0.25,0.1,4,0.08729032861815153,0.16266666666666665,1.076058028848938
0.25,0.1,6,0.08815485438310308,0.06133333333333333,1.078445165056945
0.25,0.1,8,0.0900956771829426,0.038,1.078910775860374
0.25,0.1,10,0.09373290289509016,0.04533333333333334,1.092440556699377
0.25,0.1,12,0.10035174510971365,0.21,1.165582601102874
0.25,0.1,14,0.09399080722576258,0.06533333333333333,1.1003563805442464
0.25,0.1,16,0.09013181878133626,0.051333333333333335,1.0813158524441173
0.25,0.1,18,0.08849870011808011,0.044,1.0725638273944227
0.25,0.1,20,0.08826396692023168,0.042,1.0726415282346047
0.25,0.1,22,0.08935737970057761,0.07666666666666666,1.0887315800349362
0.25,0.1,24,0.0901318190650107,0.20333333333333334,1.092953703779159
0.25,0.15,4,0.0878044009282379,0.16,1.0806202071040503
0.25,0.15,6,0.0887898420803438,0.06933333333333333,1.0736747669070092
0.25,0.15,8,0.09033732233370827,0.054,1.0893389543235468
0.25,0.15,10,0.09527987636575529,0.062,1.1225276307952228
0.25,0.15,12,0.10259832897366569,0.19666666666666666,1.1940012986212991
0.25,0.15,14,0.09554206478715545,0.072,1.113364046344792
0.25,0.15,16,0.0904031278002326,0.04933333333333333,1.069491273327699
0.25,0.15,18,0.08771752750213128,0.03933333333333333,1.0542030157930251
0.25,0.15,20,0.08663210927881418,0.04466666666666667,1.0571436756732078
0.25,0.15,22,0.08709907901654904,0.072,1.069256599777012
0.25,0.15,24,0.08779632093340668,0.18066666666666667,1.0763785313331327
0.5,0.0,4,0.08434636161713947,0.16866666666666666,1.0522323814669636
0.5,0.0,6,0.08513490752416811,0.0006666666666666666,1.0393818668455495
0.5,0.0,8,0.08897313585756353,0.0026666666666666666,1.0651230177502922
0.5,0.0,10,0.0976381690498602,0.0013333333333333333,1.128062648886752
0.5,0.0,12,0.11310148195299846,0.5586666666666666,1.2847486846342606
0.5,0.0,14,0.09887956825591779,0.006666666666666667,1.143853243419064
0.5,0.0,16,0.09004606126656241,0.008666666666666666,1.0787697106213368
0.5,0.0,18,0.08611623344043473,0.013333333333333334,1.0578502624921098
0.5,0.0,20,0.08514579201423518,0.017333333333333333,1.0589110358417382
0.5,0.0,22,0.08527405817734747,0.014666666666666666,1.0499138737762945
0.5,0.0,24,0.08534423084377284,0.20733333333333334,1.04115327426564
