time,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23,k_24
25.66,0.043915600169444596,0.04341095316832374,0.04316195665218322,0.04346562491996036,0.04370670143077465,0.043103395140902195,0.0434242152045432,0.04383613531351901,0.043811996811949035,0.043650752663822394,0.04330219678990264,0.04298162320958405,0.04358506036700635,0.0436310845343422,0.04366442138544904,0.04342076397982141,0.04319730816117048,0.043318596293407674,0.043905513581884194,0.04310321354299643,0.043891939444340396,0.0428764595655582,0.04363448766911457
25.68,0.04391837709377579,0.043410481365486094,0.043158861809376906,0.043462053711973064,0.043704563084109645,0.043098723965206594,0.043430355355597125,0.043834158059197006,0.043812913569752684,0.04366287175959613,0.043307819444123645,0.04298739402055795,0.04358403280545179,0.04363763728835549,0.04366919481207216,0.04342821686778734,0.04318211309692952,0.04329110005855383,0.043909117455404746,0.04309856025971926,0.04389665619394227,0.04287358977470216,0.04364120814832897
25.7,0.04392046285199428,0.04340837042607986,0.04315560636237686,0.0434580301412959,0.043706476113047295,0.04308995778250021,0.04343980824633359,0.04383601068918701,0.04381175977291103,0.04367784455886932,0.04331888038701661,0.042992656643391226,0.04358092232502428,0.043651559091636025,0.043667547493207975,0.04343746651836722,0.0431677665656198,0.04326708164691201,0.04391196245506413,0.043085529394990225,0.0438944257793694,0.04287915328848713,0.04364072146631842
25.72,0.043920369723481706,0.04340153328830156,0.043156452977686936,0.04344992026351635,0.043709878916866854,0.04308045378005124,0.043451468600934316,0.04383332587413151,0.04380768593061055,0.04369103157466149,0.043334675773107394,0.04299961904647449,0.043578111341584874,0.04366867202646527,0.043666288508825986,0.04344118946159854,0.04314919777776344,0.04325317921360278,0.04391256667092899,0.04307114950189941,0.04389283883531236,0.042883331160368986,0.04364705975182492
25.740000000000002,0.04392022445158521,0.04339156542796424,0.04316102984454196,0.04344037369815932,0.043705373675274044,0.043072034725637594,0.04345719027072169,0.04382066711203768,0.043807239337832045,0.04370756312220922,0.04334555932513127,0.04300746394920484,0.04357574506458639,0.04368206429854054,0.043667449614998334,0.04343982633057443,0.043135800818200565,0.04325000471096975,0.04391306154533955,0.04306882494782937,0.043889828450037666,0.04288717493434304,0.043653934344281234
25.76,0.04392239693056749,0.04338235239858069,0.04316403864792122,0.04343138454605388,0.043702987314837106,0.043067086773664526,0.04346024716120958,0.04380879903435047,0.04380084340977038,0.04372483110634955,0.04335665489168626,0.04302641243852986,0.0435858153465981,0.04369306393823548,0.04365582546037435,0.043428900456561025,0.04311354428923072,0.04325158194626185,0.04391582130914243,0.043067247338348685,0.04388646375331277,0.04289235297533205,0.043661348533081644
25.78,0.04392535623475057,0.04337263786857812,0.043170054820831145,0.04342267595571435,0.043704091313750575,0.043064581403820294,0.043457894921992465,0.04379864605258111,0.04380276803035897,0.04373468353041766,0.043363702727325065,0.043048149316839784,0.04359038983961682,0.04369986802826207,0.04364125040692473,0.043413829875785785,0.043097189275032644,0.0432516839464137,0.04391931961420473,0.04307819503748328,0.04388007453863626,0.042889658150241435,0.043673299110438525
25.8,0.043929128553049375,0.043363211764847386,0.043179043617484945,0.043413980395169284,0.04370497773119963,0.04306594695040441,0.04345014591961002,0.04379212446574075,0.04380219956919386,0.04373984758657247,0.043372550192128934,0.0430671233976195,0.04359386124708099,0.04371170462823724,0.04362467953589502,0.04339203101196345,0.043090430821156996,0.04324809716426791,0.04392358661854202,0.04308723111710988,0.0438747836974079,0.04288849298954702,0.043684821025770926
25.82,0.04393243312285624,0.04335682103910681,0.04318259927962424,0.04340066595166625,0.04370214893374794,0.04307115976053455,0.04345000573538167,0.04378955001013621,0.04379522969042886,0.04373775795367112,0.04337635935344556,0.04308417891013992,0.04359681747668406,0.04372703840888048,0.0436113482103669,0.043372584392491684,0.043088839234162596,0.04324106368174277,0.04392734535446617,0.043095762122679515,0.04387112478566635,0.04289303016947865,0.04369613642264148
25.84,0.043935224217136915,0.04335515367699642,0.043182728708425364,0.04338655686934675,0.04370497883677692,0.04307619703753912,0.0434509683423272,0.04378086143236717,0.0437901487344998,0.04373596883094295,0.043370635771888336,0.04309264954620687,0.043606627022408875,0.04373858197840556,0.04360050464015413,0.04335455005354585,0.043088281032360315,0.043235236040176414,0.0439305534213729,0.043112343251749716,0.043871176122300556,0.042899079819343676,0.04370099461372832
