k,defect_D,initial_transient_probability,expected_residence_time,expected_throughflow,long_time_transient_occupancy,commitment_hazard,final_absorption_probability,transition_boundary_footprint,absorption_boundary_footprint,total_boundary_footprint,maximum_induced_transition,maximum_induced_absorption,absorption_statistics_preservation_error,causal_effect_on_target,relative_causal_effect
12,0.0,0.0,4.802526735628572,14.51188223647552,3.663067374815909e-19,0.1,0.4802526735628572,1.2814709711548302,0.1240523023586119,1.2874613872396237,0.6496959477326003,0.08832944907375802,7.83231035137226e-15,,
13,0.32113973864262707,0.0,2.7317075908958994,11.59216294946241,1.9498559947651672e-19,0.052609184180957475,0.14371290777796203,1.1374615954522693,0.038510371705454016,1.1381133203058973,0.8954348173587504,0.03416853259060592,2.298678518844686e-15,0.12680452180491286,0.26403709710595963
14,0.6541305282174936,0.0,1.7091973966579155,7.24058865253453,1.0394590190702883e-19,0.027028966642979258,0.046197839420533786,1.161061276796854,0.02005040213914391,1.1612343893904806,0.9224955380588707,0.01787218511519728,4.75289641958987e-15,0.10709311211356815,0.22299326585539853
15,0.9973585549629369,0.0,1.195729292142434,5.068645278284407,5.496770952046512e-20,0.013605213652244017,0.01626815248984432,1.1773270924551003,0.010168982540516612,1.1773710081510795,0.9426950117131447,0.009099437307165439,4.223869840584346e-15,0.06872073135117135,0.14309286576449828
16,1.3494925949539192,0.0,0.9351116593806857,3.9707927882709004,2.8715197774694916e-20,0.0067273748189482525,0.00629084663022254,1.1892033814114313,0.005050542995592379,1.1892141061831265,0.9584920171848833,0.004534237402044361,2.1930119164339943e-15,0.03843429939344106,0.08002932937011675
17,1.7094554601025802,0.0,0.8007681246789577,3.407742527568683,1.4800288888055788e-20,0.003274808079802103,0.002622361924746629,1.1984389813330902,0.0024652845201304074,1.198441516973799,0.9714182006891801,0.002219536050856542,4.72031348341466e-15,0.01978969270885339,0.04120683506463237
18,2.076350349110163,0.0,0.7294340653545854,3.111246687867551,7.527448675269949e-21,0.0015721898992609917,0.0011468088697273613,1.2060410839597016,0.0011857396494818861,1.2060416668495364,0.9823979107695456,0.0010701681123826984,4.208080394566725e-15,0.009697679271771953,0.02019286889092703
19,2.449427773023684,0.0,0.6895474305831257,2.9476383832802187,3.7806919065325516e-21,0.0007455110220887979,0.0005140652097527306,1.2125726695382186,0.0005630341623462662,1.2125728002551064,0.9919836488488691,0.0005092524367946103,5.44298663149506e-15,0.00461215002801868,0.009603590530381555
20,2.8280529934969065,0.0,0.6654765721236058,2.850679266586116,1.876971281623042e-21,0.00034961043019017166,0.00023265755066161463,1.2183519942761418,0.00026433054626934363,1.2183520229503826,1.0005132738046987,0.00023953688171458805,4.992321272258264e-15,0.002152051824823531,0.0044810824453262775
21,3.2116844962570177,0.0,0.6495294424983847,2.7877563353219617,9.220027575141469e-22,0.00016231785364686976,0.00010543022498678571,1.2235632179173137,0.00012284124515817742,1.2235632240837182,1.008201905027582,0.00011150767491995575,2.2393404825133686e-15,0.0009909452500836968,0.0020633830994258866
22,3.5998562877400007,0.0,0.6379282627929359,2.742857024742726,4.485336168391724e-22,7.468004262860371e-05,4.764050985936757e-05,1.2283189368247955,5.656579893592487e-05,1.2283189381272626,1.0151946570160322,5.142484762208021e-05,7.328690594416938e-16,0.0004517235153949084,0.0009405955245260809
23,3.992164588539069,0.0,0.6288050375247601,2.7080815303919215,2.1627607978312275e-22,3.407610099158262e-05,2.1427223962709625e-05,1.2326928563607116,2.5830897956333163e-05,1.2326928566313529,1.0215955568806308,2.351535621369336e-05,4.893894140461503e-15,0.000204224503131345,0.0004252438651018053
24,4.388257184424518,0.0,0.6212175692140208,2.6794659620273764,1.0344181367592095e-22,1.543150341422013e-05,9.586321040299692e-06,1.2367371402175564,1.1706135406944525e-05,1.2367371402729577,1.0274835142445815,1.066994726526434e-05,1.0873093205601508e-15,9.167273976068424e-05,0.00019088439233578942
25,4.787825020572167,0.0,0.6146721931374873,2.6549525667399885,4.9107129227193524e-23,6.9398171286012455e-06,4.265712614410427e-06,1.2404913534238329,5.2680316310862e-06,1.2404913534350188,1.0329211408007137,4.807121359101648e-06,1.912106956940418e-15,4.08883599682941e-05,8.513926568061568e-05
