lambda,k,defect_D,selection_probability,ensemble_mean_defect,selection_entropy
4.0,21,3.2116844962570177,1.4494985580705474e-06,0.2047746938395442,1.4166536736924336
4.0,22,3.5998562877400007,3.0682752676600363e-07,0.2047746938395442,1.4166536736924336
4.0,23,3.992164588539069,6.388295522800275e-08,0.2047746938395442,1.4166536736924336
4.0,24,4.388257184424518,1.3100916648330296e-08,0.2047746938395442,1.4166536736924336
4.0,25,4.787825020572167,2.6496057525917097e-09,0.2047746938395442,1.4166536736924336
4.0,26,5.190595419276104,5.290508439093345e-10,0.2047746938395442,1.4166536736924336
4.0,27,5.596326588388768,1.0439271194326469e-10,0.2047746938395442,1.4166536736924336
4.0,28,6.004803125099459,2.0373880588918262e-11,0.2047746938395442,1.4166536736924336
4.0,29,6.415832310539258,3.935889778772492e-12,0.2047746938395442,1.4166536736924336
4.0,30,6.829241032246454,7.53144695162815e-13,0.2047746938395442,1.4166536736924336
4.0,31,7.244873211660474,1.4284050382731985e-13,0.2047746938395442,1.4166536736924336
4.0,32,7.662587640090765,2.6866252261440393e-14,0.2047746938395442,1.4166536736924336
4.0,33,8.082256147816919,5.0138140119908555e-15,0.2047746938395442,1.4166536736924336
4.0,34,8.503762046577139,9.288326561291194e-16,0.2047746938395442,1.4166536736924336
4.0,35,8.926998797890246,1.7088342245748942e-16,0.2047746938395442,1.4166536736924336
4.0,36,9.351868869016453,3.123381429652807e-17,0.2047746938395442,1.4166536736924336
8.0,2,1.3862943611198906,1.2958592505492739e-05,0.05167540234249889,0.5767998056899811
8.0,3,1.5040773967762742,5.050538123928942e-06,0.05167540234249889,0.5767998056899811
8.0,4,1.6739764335716716,1.2973224705282257e-06,0.05167540234249889,0.5767998056899811
8.0,5,1.6094379124341003,2.174091055206329e-06,0.05167540234249889,0.5767998056899811
8.0,6,1.5040773967762742,5.050538123928942e-06,0.05167540234249889,0.5767998056899811
8.0,7,1.3268709406490897,2.0845674023316206e-05,0.05167540234249889,0.5767998056899811
8.0,8,1.114360645636249,0.00011411752129247412,0.05167540234249889,0.5767998056899811
8.0,9,0.8680886300562775,0.0008184439622950958,0.05167540234249889,0.5767998056899811
8.0,10,0.5978370007556204,0.0071111408353597685,0.05167540234249889,0.5767998056899811
8.0,11,0.30715417586460125,0.0727570119147822,0.05167540234249889,0.5767998056899811
8.0,12,0.0,0.8492543184399718,0.05167540234249889,0.5767998056899811
8.0,13,0.32113973864262707,0.06505550202718845,0.05167540234249889,0.5767998056899811
8.0,14,0.6541305282174936,0.004532684941762985,0.05167540234249889,0.5767998056899811
8.0,15,0.9973585549629369,0.0002909773797437492,0.05167540234249889,0.5767998056899811
8.0,16,1.3494925949539192,1.7394833057142247e-05,0.05167540234249889,0.5767998056899811
8.0,17,1.7094554601025802,9.767449553342828e-07,0.05167540234249889,0.5767998056899811
8.0,18,2.076350349110163,5.1886905566504575e-08,0.05167540234249889,0.5767998056899811
8.0,19,2.449427773023684,2.6233367228021955e-09,0.05167540234249889,0.5767998056899811
8.0,20,2.8280529934969065,1.2687477558461886e-10,0.05167540234249889,0.5767998056899811
8.0,21,3.2116844962570177,5.895259532693435e-12,0.05167540234249889,0.5767998056899811
8.0,22,3.5998562877400007,2.641532708392314e-13,0.05167540234249889,0.5767998056899811
8.0,23,3.992164588539069,1.1450840113287439e-14,0.05167540234249889,0.5767998056899811
8.0,24,4.388257184424518,4.815825266900705e-16,0.05167540234249889,0.5767998056899811
8.0,25,4.787825020572167,1.969835091547081e-17,0.05167540234249889,0.5767998056899811
8.0,26,5.190595419276104,7.853480628793609e-19,0.05167540234249889,0.5767998056899811
8.0,27,5.596326588388768,3.0577904067069486e-20,0.05167540234249889,0.5767998056899811
8.0,28,6.004803125099459,1.1647021220886303e-21,0.05167540234249889,0.5767998056899811
8.0,29,6.415832310539258,4.346635369773509e-23,0.05167540234249889,0.5767998056899811
8.0,30,6.829241032246454,1.5915643284496235e-24,0.05167540234249889,0.5767998056899811
8.0,31,7.244873211660474,5.724928942720531e-26,0.05167540234249889,0.5767998056899811
8.0,32,7.662587640090765,2.025263474913378e-27,0.05167540234249889,0.5767998056899811
8.0,33,8.082256147816919,7.053485750601156e-29,0.05167540234249889,0.5767998056899811
8.0,34,8.503762046577139,2.4207074453919377e-30,0.05167540234249889,0.5767998056899811
8.0,35,8.926998797890246,8.193457793205537e-32,0.05167540234249889,0.5767998056899811
8.0,36,9.351868869016453,2.7372685119488418e-33,0.05167540234249889,0.5767998056899811
