model,beta,k,selection_count,selection_probability,mean_residence,mean_final_occupancy
control_shift_plus_1,0.5,22,0,0.0,2.249771182526116,0.07470233759843302
control_shift_plus_1,0.5,24,0,0.0,2.2293980047095623,0.07403734097315842
control_linear,0.5,4,521,0.521,3.607129130887139,0.12097880017072137
control_linear,0.5,6,479,0.479,3.6079757658463802,0.12085333722796401
control_linear,0.5,8,0,0.0,3.1062507843583114,0.10373865161161391
control_linear,0.5,10,0,0.0,2.75610473885351,0.09186764879054686
control_linear,0.5,12,0,0.0,2.555761491825222,0.08501403320099678
control_linear,0.5,14,0,0.0,2.4538554324424298,0.08160617386983328
control_linear,0.5,16,0,0.0,2.4073315131911297,0.08002124046586677
control_linear,0.5,18,0,0.0,2.3861586062783324,0.07934039459941301
control_linear,0.5,20,0,0.0,2.3766240315517715,0.07893024986048558
control_linear,0.5,22,0,0.0,2.3717752840126165,0.07885127679939714
control_linear,0.5,24,0,0.0,2.371033220753172,0.07879819340316113
control_cubic,0.5,4,0,0.0,2.3738633014701276,0.07894939240077961
control_cubic,0.5,6,0,0.0,2.3534188780055976,0.07822521557656067
control_cubic,0.5,8,0,0.0,2.3616213354353226,0.07850827097533356
control_cubic,0.5,10,0,0.0,2.390954732115492,0.0795027459421566
control_cubic,0.5,12,0,0.0,2.4503198733241454,0.08150465378035915
control_cubic,0.5,14,0,0.0,2.558379940068768,0.08515474584497695
control_cubic,0.5,16,0,0.0,2.7494041667101925,0.0916283805993404
control_cubic,0.5,18,0,0.0,3.0703444572401475,0.1025591627644557
control_cubic,0.5,20,1000,1.0,3.560502286280986,0.11920654256006494
control_cubic,0.5,22,0,0.0,3.284998751159491,0.10982128941247199
control_cubic,0.5,24,0,0.0,2.846192278189723,0.0949396001435002
null,1.0,4,87,0.087,2.727621842019674,0.09092028114554973
null,1.0,6,86,0.086,2.727057037587225,0.09083879813912507
null,1.0,8,86,0.086,2.726804580447778,0.0909532121116435
null,1.0,10,91,0.091,2.7272996496236215,0.09094358671503977
null,1.0,12,82,0.082,2.726544750744004,0.09083763861609004
null,1.0,14,97,0.097,2.727702226641066,0.09092239983755987
