time,k_4,k_6,k_8,k_10,k_12,k_14,k_16,k_18,k_20,k_22,k_24
4.24,0.10137803297367663,0.12388359438264576,0.12722053609008405,0.12580497020286435,0.1230515518324397,0.11108781479857796,0.08813616566654221,0.0609713968449796,0.04447691685251455,0.04748869174245583,0.04650032861321936
4.28,0.1014642670324155,0.12365241527200031,0.12700709974816937,0.125884243926764,0.12348592689254471,0.11107309841662279,0.08770850251659754,0.06106579483137755,0.04466715676122881,0.04750388105436778,0.046487613547911574
4.32,0.10162340010754527,0.12354258533776014,0.12663497459652037,0.12593799839406367,0.12393471502654584,0.11107711059597762,0.08721745189555168,0.061147290303434874,0.04485120622957249,0.047528670281636425,0.04650459723139165
4.36,0.10179136389323536,0.12330517355834426,0.1262891090135079,0.12604429711458254,0.12435566307135502,0.11106136774355635,0.08684616184282494,0.06122317842958607,0.04502313998944576,0.04754703578222254,0.04651350956133916
4.4,0.10189382891801906,0.1230480925947728,0.12601817706511045,0.12607357661441101,0.12481339718073033,0.11108417528647045,0.08648969415343477,0.06129040188624248,0.045177861737598995,0.047583264742481514,0.046527529820728004
4.44,0.1020076089194875,0.12276320876156219,0.12583377996012018,0.1259554870898223,0.1252817634797498,0.11112277449297345,0.08624354669860439,0.06135093505281704,0.045281948084389304,0.04762726566573041,0.04653168179474346
4.48,0.10199064090075646,0.12233558483230086,0.12582433672050494,0.12586556376561828,0.12576217117273936,0.11118070621194176,0.08603760425278745,0.061387394360008396,0.045391456392352494,0.04767939808467604,0.046545143306313944
4.5200000000000005,0.10192821343143858,0.12209932442853576,0.12575602181472695,0.12591358612269213,0.1261417803593836,0.11122357997431613,0.08576985516214046,0.06137871513350608,0.045484498389758404,0.04772483271363024,0.04657959246987178
4.5600000000000005,0.10185184396814044,0.12180065884344668,0.1257746996882041,0.1259642409489112,0.1264857666094755,0.11125486484705377,0.08551504707377837,0.06136506493268263,0.045620600885259946,0.04776578906832761,0.04660142313471993
4.6000000000000005,0.10183804631779607,0.12132395184449811,0.1257647241451393,0.1259978740487623,0.12680448102786412,0.11132062077201721,0.0852603748282481,0.06141917816945977,0.045750845164454934,0.047822418548244754,0.04669748513351551
4.64,0.10157487308746335,0.12094582310180385,0.12585838274027258,0.12604654968015344,0.1271558851479645,0.11136443522165798,0.08513053159816139,0.06140606873813379,0.04588301352837435,0.047871266846286675,0.04676317030972819
4.68,0.10144909956467894,0.12052382317510611,0.12591188903191186,0.12604167576292213,0.12734119830059618,0.11142390202954844,0.08517385697690624,0.06147400784123685,0.04595820751759707,0.047927468422575684,0.046774871376920504
4.72,0.10123056949036256,0.1201013967333463,0.1258884853079568,0.1261282838105762,0.1274254223228371,0.11147472837811724,0.085295161427897,0.0615569046300009,0.04607155500922562,0.04797931998564792,0.0468481729040324
4.76,0.10110889835760883,0.11963248355072788,0.12606015044219318,0.12600790734324477,0.127354751273788,0.11156776127255967,0.08544209413541622,0.06165867612044094,0.046159481231975344,0.04804976729133407,0.04695802898071102
4.8,0.10101893686130355,0.11919802841439606,0.12624004683168435,0.12600721929156994,0.12711237667185357,0.11167537124342411,0.08551493207042443,0.061791854267582554,0.046239511930016686,0.04812753789258287,0.04707418452516195
4.84,0.10100045643302666,0.1187555632087143,0.12636224750562855,0.1261363995096125,0.12677779464603842,0.11173541310230753,0.0856450679935711,0.0619571694261063,0.046271487349124285,0.04818683656184758,0.047171564264022754
4.88,0.1009431461113678,0.11831464808977417,0.12641817363584745,0.12625779185950575,0.1267896667232983,0.11173901953477641,0.08573396587748898,0.06209123248188639,0.04624308135928035,0.04822320959957458,0.04724606472719975
4.92,0.10070097622317478,0.11819505271613487,0.1265306812873241,0.12624806174395298,0.1266172343676487,0.11179755458381814,0.08586405938519781,0.062245089468770345,0.0461754935338435,0.04828266974447394,0.04734312694566082
4.96,0.10026300352431448,0.11811133476517542,0.12659631518623876,0.12631962073999842,0.12660473756184853,0.11181641277704701,0.08596440831309382,0.06238353896546866,0.04619215939544076,0.04832476457150478,0.04742370419986933
5.0,0.09969525716208551,0.11816495136802638,0.12667461776396632,0.12618303842187203,0.1267188218204294,0.11184831156956465,0.08607408408440793,0.06252749328664615,0.046231689111615515,0.04837243553131655,0.04750929988006942
5.04,0.09910116114542775,0.11814773159913713,0.12668467074287218,0.1262991431685078,0.12693382965985892,0.11182354472475878,0.08613862286473084,0.06263757968657432,0.0463095184781833,0.048395250183514094,0.047528947746434895
5.08,0.09857165566802237,0.11803879886891548,0.12668113213765936,0.12644366432382664,0.12727072557776453,0.11177076292187693,0.08622032724124043,0.06275970859212812,0.0463134355843098,0.04841086682769994,0.04751892225655634
5.12,0.09808565925835525,0.11800862776641166,0.12648215785084205,0.12663395296681315,0.12745901531538215,0.1117200312698547,0.08633222368567722,0.06285715988593936,0.046410698852637274,0.048451790797718206,0.04755868235036893
5.16,0.09767088488687274,0.11798335736785992,0.12623688461617932,0.12680838377543618,0.12781169366247552,0.11165172434089518,0.08643442532608508,0.06279113880394453,0.04658526880320261,0.04849799325390322,0.04752824516314561
5.2,0.09725193982417041,0.1178063578693595,0.12614642005978535,0.12699573680704102,0.1282506448096807,0.11147389439488828,0.086565662456271,0.06263504285127358,0.046795307681091636,0.04849330195539518,0.04758569129104327
5.24,0.09696873539120296,0.11771053826035986,0.12608090658080606,0.12721175174203606,0.1285809489869855,0.11117938980658405,0.08671006248835834,0.062412303019457,0.0470095071502771,0.04852254396355352,0.047613312610379696
5.28,0.09675956756435035,0.11772772335227691,0.12586404083330635,0.12746255042391225,0.129069419426454,0.11079068274673566,0.08685062631763849,0.062202536637049756,0.04717999128639738,0.04848961921968703,0.04760324219219189
5.32,0.09673476044704003,0.11765712627407979,0.1255078098305328,0.12775137280243726,0.12958928395786284,0.11037492503696396,0.08701024532040122,0.06202745711834347,0.04736865498507964,0.04838767454351121,0.047590689683747904
5.36,0.09680327126453118,0.11741692843553855,0.12511021028360486,0.12799823770506227,0.13013667797854325,0.11002382597832261,0.08718624298805519,0.06194389984811612,0.04746361787598451,0.04832438218490925,0.04759270545733212
5.4,0.09682331389281675,0.11715636707338226,0.12486741683762383,0.12819396529022115,0.13068062644761796,0.10960280323778394,0.08735920909490774,0.06181978602456314,0.04760592141144267,0.048279707998240856,0.04761088269139985
5.44,0.09678376279955844,0.11691782898873736,0.12469881638566907,0.12819201343628184,0.13124561321016756,0.10921721232395729,0.0875452660169273,0.06176267341612288,0.04768982521675368,0.04831013975561338,0.04763684845021117
5.48,0.0966834113675146,0.116742874199151,0.12454855642781389,0.12806411446101146,0.1317806634334393,0.10893745867733771,0.08771258460109602,0.06174558235235169,0.04772412600933009,0.04841277501311128,0.04764785345784298
5.5200000000000005,0.09661957917462585,0.11660530299423173,0.12429982572162052,0.12788267110004278,0.13228850296948078,0.1087846326780446,0.08786458978621593,0.061787077820654145,0.047764192900275185,0.048481771100493835,0.04762185375431451
5.5600000000000005,0.09657853879157952,0.11637608401489538,0.12423388130534062,0.12753830802405475,0.13271922627373375,0.10884760268337303,0.08801993736855653,0.061751859627708044,0.04775626780275282,0.04851519667205072,0.04766309743595474
5.6000000000000005,0.096480514265106,0.11610128529478717,0.12412162200183106,0.1272860906072011,0.13322609539890753,0.10893497852911065,0.08817929474101403,0.061712261205205676,0.0476741889888907,0.04857996328497243,0.04770370568297357
5.64,0.09653314241786497,0.11589405777699543,0.12380638787902695,0.12698565652500496,0.13373913994028866,0.10907042736555068,0.08834674348275184,0.06169912445004052,0.04757771696279625,0.04860006953286923,0.04774753366681052
5.68,0.09654137173877057,0.11566794069224647,0.12360895124367718,0.1267373852555315,0.1342270365449952,0.10917751432655087,0.08850224313860267,0.06155411454015064,0.047513662892762085,0.04864881405380515,0.047820965572907624
5.72,0.09651699939305419,0.1155433845492219,0.12352491023404409,0.12650439690381926,0.13470500417418765,0.10924767037166161,0.08865397670538273,0.06140421760913307,0.04744083033571103,0.04859450062556092,0.04786410909822344
5.76,0.09641511313022749,0.1152840670431074,0.12356733599316683,0.12642513370830102,0.13516999421261203,0.10933882043128537,0.08879966491154198,0.061229951364492344,0.04739648783373512,0.0484911258915421,0.04788230547998821
5.8,0.09619455311611662,0.11512769646307247,0.12359589693643222,0.1264336676062198,0.13561758027212778,0.10933122429176613,0.08893508983789608,0.06106995501164851,0.04737313805989539,0.04842357951589517,0.047897618888929815
5.84,0.09598545473358597,0.11505608417147001,0.12353391623800392,0.12659746538874386,0.1360482035892941,0.10926649300038296,0.08905987079571837,0.06096272801666501,0.0473523441800665,0.04831002625152695,0.04782741363454242
5.88,0.0957001695547993,0.11518353430662481,0.12336102734985825,0.12692584425894046,0.1363992292129825,0.10907974094316386,0.08919003338214702,0.06088428392965386,0.04725909540252136,0.04822683040655261,0.047790211252755996
5.92,0.09534667538730437,0.11527053518107178,0.12317623879570086,0.12729962607903497,0.136811079266059,0.10893766777920984,0.08932159714887762,0.06080708647382932,0.047133470554867836,0.04810125113401508,0.047794772200029347
5.96,0.09507756980019771,0.11522353464385687,0.12299346841534312,0.12770694347698863,0.13722290751008603,0.10881699027874174,0.08945595150199522,0.060693836879796126,0.04704001035909793,0.047914055835974835,0.04785473129792178
6.0,0.09489808497170213,0.11512978283571605,0.12291966419764296,0.12806464144097987,0.13743566668193302,0.10879097648540396,0.08955451862182093,0.06064972488912955,0.046924459887702594,0.04772105783277278,0.04791142215519622
6.04,0.09462678465541828,0.11498801774702598,0.12283088282471649,0.1284650800382403,0.13777970507560353,0.10877802795172686,0.08968400702320431,0.0606793685338537,0.046740567710613724,0.04748122997751429,0.04794632846208257
