time,k_4,k_6,k_8,k_10,k_12,k_14,k_16,k_18,k_20,k_22,k_24
21.900000000000002,0.06495549566906161,0.06988193430289953,0.09183923133971664,0.13996210101937845,0.25036981371589706,0.13382047419778503,0.07883436688503614,0.05300129587967668,0.04346022161286043,0.03860592117636115,0.035269144201327145
21.950000000000003,0.06497307998773644,0.06978240425318526,0.0918171931606066,0.13988672648034986,0.2504409578995903,0.13403354771511564,0.07884874645086362,0.05295237229042551,0.04342830889439888,0.038566509630863645,0.035270153236864166
22.0,0.06501978976429926,0.06968482047199975,0.09176878387643973,0.13986100282151923,0.25053240727104226,0.13417439109035295,0.07885564930814312,0.0529139071236866,0.0433642814005669,0.03851971931993905,0.03530524755201113
22.05,0.06502414059106373,0.06965544005742685,0.09171162635799672,0.13990933192831043,0.25046672833016853,0.1343271297322193,0.07887120342447716,0.05290455346298757,0.04332350722174762,0.03846027349405012,0.03534606539955196
22.1,0.06500294475127741,0.06960591625073582,0.09161817368104543,0.14000532977200617,0.2504715713233444,0.13451649244002098,0.07884260252669097,0.05285205465482066,0.0432670430891116,0.03842313229672157,0.03539473921422504
22.150000000000002,0.06499520406999071,0.0696101945799724,0.09153841963512177,0.14008608907531217,0.2503247138344703,0.1347315688282223,0.0788481151148067,0.05280673012676083,0.04322345228232956,0.0383835357286794,0.035451976724333874
22.200000000000003,0.06498242010401907,0.06964453966163678,0.09147532882866945,0.14022650434192607,0.2501620134029742,0.13491203475612293,0.07883904054006007,0.05277022446405259,0.043168802942483,0.03831484024408909,0.03550425071396648
22.25,0.06496097483862096,0.06968553070646313,0.09143017469525525,0.14028720703454498,0.25007471749996396,0.1350681751405701,0.07879248480711806,0.05275401333528029,0.043113237009586525,0.03827542915596065,0.03555805577663627
22.3,0.06493756491543748,0.06970230705552101,0.09136972014763792,0.14032791928459695,0.2501387806420268,0.13526879599306474,0.07873245438213866,0.05270889615519572,0.04302228605462154,0.03821528495044764,0.03557599041931142
22.35,0.06492812846971797,0.06969567047424437,0.09134092371622951,0.14043700684197724,0.2501747484633223,0.13539560430217168,0.07867772477134462,0.05265156121565522,0.04293565158354175,0.03816879820613515,0.03559418195566006
22.400000000000002,0.06491256596281604,0.06972817022426761,0.09128589026898672,0.1405293454737144,0.250196782929978,0.13554506571424046,0.07866308024415343,0.052555938088087846,0.04283357829321185,0.03813012124148507,0.0356194615590585
22.450000000000003,0.06491559220250562,0.06973921720009091,0.09116655556147307,0.14061150083613663,0.25022419353075187,0.1356958635042421,0.07867217659505084,0.05250051373962785,0.04275833469643912,0.03808972403659377,0.03562632809708816
22.5,0.06489711656693907,0.06971209160770812,0.09108276642821891,0.14071634901298327,0.25030939698744115,0.13581903663964168,0.07865826966404652,0.052467197775705306,0.04268399222778958,0.03803775284513963,0.03561603024438671
22.55,0.06485023559297882,0.06971911900795026,0.09103309974401083,0.14087479443114823,0.250399460629943,0.13592912888198172,0.0785883354231536,0.052430229588277644,0.04262278585020723,0.037988344279228196,0.035564466571120376
22.6,0.06483694041143225,0.06974473469812495,0.09098963103119286,0.1409410643548288,0.2504492893374297,0.13605387909624406,0.0785294978910072,0.052413621681061735,0.04256537612896556,0.03795537001635741,0.035520595353355444
22.650000000000002,0.06483125132999332,0.06973433293842243,0.0909598539655331,0.14099877540140823,0.25041115255653473,0.13619691744385035,0.07851481431602693,0.05240881985546178,0.04253385399167572,0.037959642445218315,0.03545058575587499
22.700000000000003,0.06480794653433238,0.06971943383083085,0.09095140163040526,0.1411061032354117,0.2502604810158087,0.13633858435782042,0.07848892959937369,0.05242462942501096,0.042520528576818414,0.03797516646498198,0.03540679532920582
22.75,0.06479653077313832,0.06967364008135685,0.09098191803665112,0.1411436943025703,0.25022094310120735,0.1364446451479971,0.07843339273394395,0.05243441754660554,0.042498040738179525,0.03800524179683973,0.035367535741510324
22.8,0.06476490974808244,0.06963818559307174,0.09104010703056303,0.14109994064700213,0.25017976956683213,0.13654566760904044,0.07840463416039532,0.052464099059297824,0.042484192210993456,0.0380284506838947,0.035350043690826824
22.85,0.06471377595959511,0.0696156156437685,0.0910504305790219,0.14106697929642825,0.2501854805199827,0.13663122355116888,0.07839241937433068,0.05249116167252511,0.04247708743903947,0.0380431040310264,0.035332721933112994
22.900000000000002,0.06464950926656204,0.0695730617489576,0.09105416210495748,0.141002071648155,0.2501543555676638,0.13672920598707364,0.0784106858587684,0.052540427110536615,0.04249256116819244,0.038058613694406065,0.03533534584472684
22.950000000000003,0.06460401167435578,0.06955435810693836,0.09108543443824033,0.14087883337162585,0.25008630073249916,0.1368144891011298,0.07843516046457644,0.05258575195464934,0.04253385011343407,0.038080002639909745,0.035341807402641194
23.0,0.06454803056611176,0.06958954825693035,0.09108349269856973,0.1407928449871912,0.25002646715378296,0.13689884799258556,0.07843925633502508,0.05264568744588151,0.042545596720745364,0.03808683777742118,0.03534339006575547
23.05,0.06450679929714637,0.06961086129417855,0.09105955189986656,0.14073108812304785,0.2500558847078789,0.13695727669436653,0.07844736096606024,0.05265273730685561,0.0425281882692805,0.0380961465079262,0.03535410493339278
23.1,0.06445917299963341,0.06964545084521226,0.0910808261256293,0.14074137200131345,0.24992308675553807,0.13704286602684798,0.07845063255004348,0.052698275944861976,0.04250351588156624,0.03809607015105622,0.035358730718297454
23.150000000000002,0.06439154722191551,0.06967667899395955,0.09113978777879189,0.14080800561878737,0.24968139650143562,0.13712136683385984,0.07847195314403589,0.05275113070491693,0.042481404471926165,0.03810267292473064,0.03537405580564054
23.200000000000003,0.06434541116597006,0.06967695141137446,0.09120165712451381,0.1408294278798199,0.24950255318886413,0.1371919889102368,0.07847524889431393,0.052822648053988695,0.04246787347376167,0.038114365224595874,0.035371874672560685
